Input,Output
"[-0.5897183580645737, 1.7457152793436226, -0.3967836720801128, -1.2445453311146808, 0.54081025834952]","[-0.6867891361131737, 1.726192483140795, -0.4523630067224486, -1.2940795243428735, 0.48708752494051366]"
"[-0.6867891361131737, 1.726192483140795, -0.4523630067224486, -1.2940795243428735, 0.48708752494051366]","[-0.6946501426835583, 1.6357049790283995, -0.379434555951242, -1.3238497498955883, 0.5015955736153326]"
"[-0.6946501426835583, 1.6357049790283995, -0.379434555951242, -1.3238497498955883, 0.5015955736153326]","[-0.6478182387428488, 1.6053386179672553, -0.41429865096072177, -1.3747630897948377, 0.5923354233486279]"
"[-0.6478182387428488, 1.6053386179672553, -0.41429865096072177, -1.3747630897948377, 0.5923354233486279]","[-0.6599169416935937, 1.5056401049752934, -0.489552103140302, -1.364030259115788, 0.6539480502112993]"
"[-0.6599169416935937, 1.5056401049752934, -0.489552103140302, -1.364030259115788, 0.6539480502112993]","[-0.5702312568894448, 1.5925180110029213, -0.4119267567556042, -1.2952436969909176, 0.6083338015045869]"
"[-0.5702312568894448, 1.5925180110029213, -0.4119267567556042, -1.2952436969909176, 0.6083338015045869]","[-0.6648855065343857, 1.5858832176680164, -0.4466340321931739, -1.2902292926948642, 0.6878509098630702]"
"[-0.6648855065343857, 1.5858832176680164, -0.4466340321931739, -1.2902292926948642, 0.6878509098630702]","[-0.7384399079345586, 1.66612150277688, -0.4842461767392609, -1.2796229397529966, 0.6361734124215366]"
"[-0.7384399079345586, 1.66612150277688, -0.4842461767392609, -1.2796229397529966, 0.6361734124215366]","[-0.6806898691485643, 1.5830043771779032, -0.515620239125115, -1.3176485960069202, 0.5409505642531385]"
"[-0.6806898691485643, 1.5830043771779032, -0.515620239125115, -1.3176485960069202, 0.5409505642531385]","[-0.7715572816247098, 1.5719789476111081, -0.5603885531967584, -1.373789346617315, 0.5871727529133184]"
"[-0.7715572816247098, 1.5719789476111081, -0.5603885531967584, -1.373789346617315, 0.5871727529133184]","[-0.8413868860947424, 1.5736264093574606, -0.6054398130045514, -1.3115653841308048, 0.4952093807906931]"
"[-0.8413868860947424, 1.5736264093574606, -0.6054398130045514, -1.3115653841308048, 0.4952093807906931]","[-0.9207379565833402, 1.6425082689588533, -0.6029125397066367, -1.4092569041029828, 0.47907876039713326]"
"[-0.9207379565833402, 1.6425082689588533, -0.6029125397066367, -1.4092569041029828, 0.47907876039713326]","[-0.8762177768988941, 1.551979887134516, -0.5501212705063481, -1.4623318866110306, 0.49021358298559775]"
"[-0.8762177768988941, 1.551979887134516, -0.5501212705063481, -1.4623318866110306, 0.49021358298559775]","[-0.8377376116518174, 1.6297046633682475, -0.49829815245988596, -1.4416125194224299, 0.5506671619361023]"
"[-0.8377376116518174, 1.6297046633682475, -0.49829815245988596, -1.4416125194224299, 0.5506671619361023]","[-0.9208664817578194, 1.5765232964955096, -0.518706174008552, -1.5085074821600495, 0.6359380640745346]"
"[-0.9208664817578194, 1.5765232964955096, -0.518706174008552, -1.5085074821600495, 0.6359380640745346]","[-0.8905536739541033, 1.5356626418974126, -0.48993509036435445, -1.5464732122529745, 0.6182534905642407]"
"[-0.8905536739541033, 1.5356626418974126, -0.48993509036435445, -1.5464732122529745, 0.6182534905642407]","[-0.8459030266549162, 1.5940308335671447, -0.47156372134631264, -1.4624744015864979, 0.6251850652973181]"
"[-0.8459030266549162, 1.5940308335671447, -0.47156372134631264, -1.4624744015864979, 0.6251850652973181]","[-0.8112753633715662, 1.5196668265143627, -0.40267899753183245, -1.5039690347716512, 0.681650454514014]"
"[-0.8112753633715662, 1.5196668265143627, -0.40267899753183245, -1.5039690347716512, 0.681650454514014]","[-0.7897538315252526, 1.473901475739333, -0.413678579038119, -1.4163870280106423, 0.6476711289316631]"
"[-0.7897538315252526, 1.473901475739333, -0.413678579038119, -1.4163870280106423, 0.6476711289316631]","[-0.8832056733279089, 1.3772370344955382, -0.4073528445641966, -1.3243372731456413, 0.7164733390415572]"
"[-0.8832056733279089, 1.3772370344955382, -0.4073528445641966, -1.3243372731456413, 0.7164733390415572]","[-0.8773018624796569, 1.3218674301583697, -0.3850464353555014, -1.2656485079224484, 0.7863731767959949]"
"[-0.8773018624796569, 1.3218674301583697, -0.3850464353555014, -1.2656485079224484, 0.7863731767959949]","[-0.8129777619583572, 1.3517077290428072, -0.3012047734879867, -1.1668989655024553, 0.8409566625796516]"
"[-0.8129777619583572, 1.3517077290428072, -0.3012047734879867, -1.1668989655024553, 0.8409566625796516]","[-0.7585724482149605, 1.4504706976561097, -0.35317679944127606, -1.179886835355048, 0.7882194815676271]"
"[-0.7585724482149605, 1.4504706976561097, -0.35317679944127606, -1.179886835355048, 0.7882194815676271]","[-0.7340235383912898, 1.352081150737979, -0.3185194280924678, -1.2128578005641475, 0.7974937316575011]"
"[-0.7340235383912898, 1.352081150737979, -0.3185194280924678, -1.2128578005641475, 0.7974937316575011]","[-0.681736586723379, 1.3858278748247324, -0.34800829202662964, -1.290193548307913, 0.7372042519630525]"
"[-0.681736586723379, 1.3858278748247324, -0.34800829202662964, -1.290193548307913, 0.7372042519630525]","[-0.6409689085273893, 1.3919637563101532, -0.2667923538751966, -1.3043063823344527, 0.7542393782344403]"
"[-0.6409689085273893, 1.3919637563101532, -0.2667923538751966, -1.3043063823344527, 0.7542393782344403]","[-0.6124080694653766, 1.4224215318879976, -0.2667442898317219, -1.3571329846846305, 0.758913191543742]"
"[-0.6124080694653766, 1.4224215318879976, -0.2667442898317219, -1.3571329846846305, 0.758913191543742]","[-0.6003688231320934, 1.3277170227321804, -0.25246500153816653, -1.2702540744834276, 0.7048980967231226]"
"[-0.6003688231320934, 1.3277170227321804, -0.25246500153816653, -1.2702540744834276, 0.7048980967231226]","[-0.5883821547084491, 1.3530931702469857, -0.22196092674716647, -1.3252907936272442, 0.6262245255320014]"
"[-0.5883821547084491, 1.3530931702469857, -0.22196092674716647, -1.3252907936272442, 0.6262245255320014]","[-0.5233337185960891, 1.3378566487054324, -0.1657287208981296, -1.3201771557540265, 0.6727443167897371]"
"[-0.5233337185960891, 1.3378566487054324, -0.1657287208981296, -1.3201771557540265, 0.6727443167897371]","[-0.5440735660034312, 1.2473108100855388, -0.258281148802389, -1.3134225305802347, 0.6949869732912751]"
"[-0.5440735660034312, 1.2473108100855388, -0.258281148802389, -1.3134225305802347, 0.6949869732912751]","[-0.5938226288486675, 1.313868505114077, -0.2747767640053309, -1.3315777076312656, 0.7144340861284607]"
"[-0.5938226288486675, 1.313868505114077, -0.2747767640053309, -1.3315777076312656, 0.7144340861284607]","[-0.5736457808708633, 1.3115543454241305, -0.21550173254372906, -1.3717173403292657, 0.7287507011109066]"
"[-0.5736457808708633, 1.3115543454241305, -0.21550173254372906, -1.3717173403292657, 0.7287507011109066]","[-0.5336494482987855, 1.3915736655315933, -0.19606188445938766, -1.2882844490311187, 0.6496748463604636]"
"[-0.5336494482987855, 1.3915736655315933, -0.19606188445938766, -1.2882844490311187, 0.6496748463604636]","[-0.47941418633428656, 1.3597278725558406, -0.20218126576339937, -1.3232090835901442, 0.7015882285079528]"
"[-0.47941418633428656, 1.3597278725558406, -0.20218126576339937, -1.3232090835901442, 0.7015882285079528]","[-0.4079725444967186, 1.3194852737112446, -0.1648984104349581, -1.31659609623586, 0.6861378457388153]"
"[-0.4079725444967186, 1.3194852737112446, -0.1648984104349581, -1.31659609623586, 0.6861378457388153]","[-0.465115764010202, 1.3193445702441289, -0.23777715805987623, -1.27383075821585, 0.6497681059302246]"
"[-0.465115764010202, 1.3193445702441289, -0.23777715805987623, -1.27383075821585, 0.6497681059302246]","[-0.5322532542053977, 1.3968876436486761, -0.32049251434699233, -1.3637580573685337, 0.6479494515304789]"
"[-0.5322532542053977, 1.3968876436486761, -0.32049251434699233, -1.3637580573685337, 0.6479494515304789]","[-0.5592800740573494, 1.3707937491221815, -0.26942389262081273, -1.3611085747008138, 0.5924802358559714]"
"[-0.5592800740573494, 1.3707937491221815, -0.26942389262081273, -1.3611085747008138, 0.5924802358559714]","[-0.5172219685465216, 1.3150532519920228, -0.27231627276131265, -1.3232953258601492, 0.5335253809296647]"
"[-0.5172219685465216, 1.3150532519920228, -0.27231627276131265, -1.3232953258601492, 0.5335253809296647]","[-0.5191526845613019, 1.2266783061148434, -0.2685368898736311, -1.3008758948172938, 0.6267354795684286]"
"[-0.5191526845613019, 1.2266783061148434, -0.2685368898736311, -1.3008758948172938, 0.6267354795684286]","[-0.467140116071743, 1.2710461663265342, -0.3189646589752986, -1.3729239549028758, 0.5549030345729891]"
"[-0.467140116071743, 1.2710461663265342, -0.3189646589752986, -1.3729239549028758, 0.5549030345729891]","[-0.47628779359062606, 1.2018777841174555, -0.30658148344092406, -1.3657522257050982, 0.5713836245366456]"
"[-0.47628779359062606, 1.2018777841174555, -0.30658148344092406, -1.3657522257050982, 0.5713836245366456]","[-0.4826442204646306, 1.2607676032739938, -0.3152364904113111, -1.2954057847360227, 0.5677762067165067]"
"[-0.4826442204646306, 1.2607676032739938, -0.3152364904113111, -1.2954057847360227, 0.5677762067165067]","[-0.43030652899395505, 1.2046750404863436, -0.27627590007317976, -1.2840545217027108, 0.5281105163153225]"
"[-0.43030652899395505, 1.2046750404863436, -0.27627590007317976, -1.2840545217027108, 0.5281105163153225]","[-0.4831572099809391, 1.1660775813730706, -0.29541186492253035, -1.1897669313547337, 0.604714106909524]"
"[-0.4831572099809391, 1.1660775813730706, -0.29541186492253035, -1.1897669313547337, 0.604714106909524]","[-0.4073166663148158, 1.2462420376920473, -0.35913161813214617, -1.1360230704243501, 0.5808634957070414]"
"[-0.4073166663148158, 1.2462420376920473, -0.35913161813214617, -1.1360230704243501, 0.5808634957070414]","[-0.37924505996423924, 1.1529114669639917, -0.2826412992799112, -1.1092803688491708, 0.48124505074355955]"
"[-0.37924505996423924, 1.1529114669639917, -0.2826412992799112, -1.1092803688491708, 0.48124505074355955]","[-0.4078163821157341, 1.0973939104792605, -0.27422338774188915, -1.0185790885890391, 0.5276871843558163]"
"[-0.4078163821157341, 1.0973939104792605, -0.27422338774188915, -1.0185790885890391, 0.5276871843558163]","[-0.4162163476281222, 1.0518473487077133, -0.3620277510130486, -0.9600617646849325, 0.557126141405877]"
"[-0.4162163476281222, 1.0518473487077133, -0.3620277510130486, -0.9600617646849325, 0.557126141405877]","[-0.3376592287547796, 1.0229418103516303, -0.3047838015785971, -0.8832779087182683, 0.6206467125549677]"
"[-0.3376592287547796, 1.0229418103516303, -0.3047838015785971, -0.8832779087182683, 0.6206467125549677]","[-0.3955320709524384, 1.0852095052768929, -0.37390230097068655, -0.9253989707952045, 0.5609624143044714]"
"[-0.3955320709524384, 1.0852095052768929, -0.37390230097068655, -0.9253989707952045, 0.5609624143044714]","[-0.46577780210039316, 1.1261661473985594, -0.39061898821248586, -1.0143590641159155, 0.5410588070165909]"
"[-0.46577780210039316, 1.1261661473985594, -0.39061898821248586, -1.0143590641159155, 0.5410588070165909]","[-0.45321762618582273, 1.2249388484356696, -0.4430694209545596, -0.9838261464929543, 0.5222167651696706]"
"[-0.45321762618582273, 1.2249388484356696, -0.4430694209545596, -0.9838261464929543, 0.5222167651696706]","[-0.44462347440311345, 1.196304204604827, -0.4745971324215101, -0.94836716500457, 0.5744458788060463]"
"[-0.44462347440311345, 1.196304204604827, -0.4745971324215101, -0.94836716500457, 0.5744458788060463]","[-0.5363739290631127, 1.1396159233130112, -0.484598483315406, -0.8651465426065086, 0.6508987328037749]"
"[-0.5363739290631127, 1.1396159233130112, -0.484598483315406, -0.8651465426065086, 0.6508987328037749]","[-0.6338215015871391, 1.21196295672589, -0.508844710363009, -0.7935999188403033, 0.6612219105526446]"
"[-0.6338215015871391, 1.21196295672589, -0.508844710363009, -0.7935999188403033, 0.6612219105526446]","[-0.5867693467479336, 1.1640978763732868, -0.5631096815577469, -0.8129026657822842, 0.6597884551550283]"
"[-0.5867693467479336, 1.1640978763732868, -0.5631096815577469, -0.8129026657822842, 0.6597884551550283]","[-0.6704346004331057, 1.1038053773917473, -0.567593520405614, -0.8097288865512277, 0.7588008558277034]"
"[-0.6704346004331057, 1.1038053773917473, -0.567593520405614, -0.8097288865512277, 0.7588008558277034]","[-0.6525667700117908, 1.1634656932062004, -0.5580968396008675, -0.9063375228047359, 0.6869767410853777]"
"[-0.6525667700117908, 1.1634656932062004, -0.5580968396008675, -0.9063375228047359, 0.6869767410853777]","[-0.6109250801003674, 1.2606406560142958, -0.5890115056184818, -0.9092438408089054, 0.7331242588669603]"
"[-0.6109250801003674, 1.2606406560142958, -0.5890115056184818, -0.9092438408089054, 0.7331242588669603]","[-0.6125182058519527, 1.229363643378908, -0.5393966979277778, -0.8636746585599053, 0.8234612076830659]"
"[-0.6125182058519527, 1.229363643378908, -0.5393966979277778, -0.8636746585599053, 0.8234612076830659]","[-0.5920236724054041, 1.1341615265465583, -0.6128867999164653, -0.7789917721897706, 0.9233434337247746]"
"[-0.5920236724054041, 1.1341615265465583, -0.6128867999164653, -0.7789917721897706, 0.9233434337247746]","[-0.5111949616853965, 1.1409378460533688, -0.6905622761485267, -0.8523364993369158, 0.9592838822514109]"
"[-0.5111949616853965, 1.1409378460533688, -0.6905622761485267, -0.8523364993369158, 0.9592838822514109]","[-0.5570969617059766, 1.0467369928287837, -0.7740220795877562, -0.9508618552658193, 0.9243959686639476]"
"[-0.5570969617059766, 1.0467369928287837, -0.7740220795877562, -0.9508618552658193, 0.9243959686639476]","[-0.633944075137176, 0.9514892118221837, -0.7481085941718404, -0.9795419628797102, 0.942463101581448]"
"[-0.633944075137176, 0.9514892118221837, -0.7481085941718404, -0.9795419628797102, 0.942463101581448]","[-0.7073520914679381, 0.8578345414120234, -0.8401750905277413, -0.9640664240784376, 0.9537817127271765]"
"[-0.7073520914679381, 0.8578345414120234, -0.8401750905277413, -0.9640664240784376, 0.9537817127271765]","[-0.633168248587891, 0.7690400493850074, -0.8448347497441829, -0.9257090062368889, 0.8597950706208075]"
"[-0.633168248587891, 0.7690400493850074, -0.8448347497441829, -0.9257090062368889, 0.8597950706208075]","[-0.7155659706253802, 0.6744583591960267, -0.8268218939652531, -0.8850726571324926, 0.9412058378994117]"
"[-0.7155659706253802, 0.6744583591960267, -0.8268218939652531, -0.8850726571324926, 0.9412058378994117]","[-0.7966555431848574, 0.6758456572472458, -0.7293642188207415, -0.9063159438879078, 0.8607024074828847]"
"[-0.7966555431848574, 0.6758456572472458, -0.7293642188207415, -0.9063159438879078, 0.8607024074828847]","[-0.8401509334138344, 0.7595651970315739, -0.7844248559538349, -0.8151589033925133, 0.8845558443271044]"
"[-0.8401509334138344, 0.7595651970315739, -0.7844248559538349, -0.8151589033925133, 0.8845558443271044]","[-0.9205364787429341, 0.6955088427137022, -0.7973500835588776, -0.7276093171667657, 0.8978371060163519]"
"[-0.9205364787429341, 0.6955088427137022, -0.7973500835588776, -0.7276093171667657, 0.8978371060163519]","[-0.8266577870531124, 0.6671635712855565, -0.7908088581911881, -0.7261424605192953, 0.8772720272683234]"
"[-0.8266577870531124, 0.6671635712855565, -0.7908088581911881, -0.7261424605192953, 0.8772720272683234]","[-0.85323274336448, 0.6852966749552356, -0.7602503050634432, -0.6612478874136121, 0.8957124776320635]"
"[-0.85323274336448, 0.6852966749552356, -0.7602503050634432, -0.6612478874136121, 0.8957124776320635]","[-0.8987232122336449, 0.7624520322627357, -0.7010085367194374, -0.6239227833993397, 0.8439860832220928]"
"[-0.8987232122336449, 0.7624520322627357, -0.7010085367194374, -0.6239227833993397, 0.8439860832220928]","[-0.8766894059029768, 0.8439999438202448, -0.7949227909555454, -0.6079438392704208, 0.8065404833500269]"
"[-0.8766894059029768, 0.8439999438202448, -0.7949227909555454, -0.6079438392704208, 0.8065404833500269]","[-0.8212755555958661, 0.8155734509229519, -0.8757933246656977, -0.6081424272940216, 0.7832286591999842]"
"[-0.8212755555958661, 0.8155734509229519, -0.8757933246656977, -0.6081424272940216, 0.7832286591999842]","[-0.8364446932426978, 0.8772312572557037, -0.8936575006609899, -0.5712706993581838, 0.8443871323436345]"
"[-0.8364446932426978, 0.8772312572557037, -0.8936575006609899, -0.5712706993581838, 0.8443871323436345]","[-0.7453884865541182, 0.8598654163761449, -0.8593725063069089, -0.5451277055908134, 0.8706909998474723]"
"[-0.7453884865541182, 0.8598654163761449, -0.8593725063069089, -0.5451277055908134, 0.8706909998474723]","[-0.750158495801498, 0.8921633509721826, -0.9573753713886719, -0.5172849737885037, 0.874542061364441]"
"[-0.750158495801498, 0.8921633509721826, -0.9573753713886719, -0.5172849737885037, 0.874542061364441]","[-0.8333299081249386, 0.9710163379942224, -0.9151960001585945, -0.5881407093836923, 0.8090098284743849]"
"[-0.8333299081249386, 0.9710163379942224, -0.9151960001585945, -0.5881407093836923, 0.8090098284743849]","[-0.7954974519961915, 1.0509220673046733, -0.8473765794867435, -0.5986768900815056, 0.8869114772558981]"
"[-0.7954974519961915, 1.0509220673046733, -0.8473765794867435, -0.5986768900815056, 0.8869114772558981]","[-0.775972850340864, 1.1337054590468438, -0.7504405909739806, -0.5851994758140863, 0.8129104573698902]"
"[-0.775972850340864, 1.1337054590468438, -0.7504405909739806, -0.5851994758140863, 0.8129104573698902]","[-0.7193488898435226, 1.0373561898764365, -0.7369364220525766, -0.5535209064423505, 0.8363546471457465]"
"[-0.7193488898435226, 1.0373561898764365, -0.7369364220525766, -0.5535209064423505, 0.8363546471457465]","[-0.629780783943536, 1.0729932665621043, -0.6681597853138913, -0.462561252223984, 0.7574285860409493]"
"[-0.629780783943536, 1.0729932665621043, -0.6681597853138913, -0.462561252223984, 0.7574285860409493]","[-0.613092717008729, 1.146499347617586, -0.6187242404969815, -0.5038291951304112, 0.706210041373593]"
"[-0.613092717008729, 1.146499347617586, -0.6187242404969815, -0.5038291951304112, 0.706210041373593]","[-0.5825950055401822, 1.1711737855622373, -0.5858049117402304, -0.43938300594556967, 0.7001952894111048]"
"[-0.5825950055401822, 1.1711737855622373, -0.5858049117402304, -0.43938300594556967, 0.7001952894111048]","[-0.5230036423148361, 1.1081342800178318, -0.6563241380265574, -0.4253822601548693, 0.786532222514478]"
"[-0.5230036423148361, 1.1081342800178318, -0.6563241380265574, -0.4253822601548693, 0.786532222514478]","[-0.4393560970479743, 1.085245493925659, -0.7077665169276658, -0.4991462589267392, 0.7638833844997069]"
"[-0.4393560970479743, 1.085245493925659, -0.7077665169276658, -0.4991462589267392, 0.7638833844997069]","[-0.5357061887085776, 1.019100910668078, -0.7677809855521908, -0.5085020400516179, 0.7452153240641171]"
"[-0.5357061887085776, 1.019100910668078, -0.7677809855521908, -0.5085020400516179, 0.7452153240641171]","[-0.6230919577435389, 1.0544759494455815, -0.732662059125385, -0.543505891589916, 0.7600474288463928]"
"[-0.6230919577435389, 1.0544759494455815, -0.732662059125385, -0.543505891589916, 0.7600474288463928]","[-0.6215267979668108, 1.000585712482894, -0.8087566634430183, -0.44736747464238436, 0.7348959140766722]"
"[-0.6215267979668108, 1.000585712482894, -0.8087566634430183, -0.44736747464238436, 0.7348959140766722]","[-0.6944276983464428, 1.0212697546798584, -0.7383704127001194, -0.46328497076524944, 0.7956853827064341]"
"[-0.6944276983464428, 1.0212697546798584, -0.7383704127001194, -0.46328497076524944, 0.7956853827064341]","[-0.6239245353383067, 1.1107765088863886, -0.7324317037698356, -0.5620014049900995, 0.7683190291045332]"
"[-0.6239245353383067, 1.1107765088863886, -0.7324317037698356, -0.5620014049900995, 0.7683190291045332]","[-0.6089476253701753, 1.0180843229755245, -0.8098279318644286, -0.4884224325017351, 0.7295131768972063]"
"[-0.6089476253701753, 1.0180843229755245, -0.8098279318644286, -0.4884224325017351, 0.7295131768972063]","[-0.5176703418894213, 1.0396708579285132, -0.8624944248702772, -0.537080462767191, 0.7435391895063693]"
"[-0.5176703418894213, 1.0396708579285132, -0.8624944248702772, -0.537080462767191, 0.7435391895063693]","[-0.5021692552956275, 1.001345756191578, -0.8502092880220208, -0.5779203487591568, 0.6460651799141216]"
"[-0.5021692552956275, 1.001345756191578, -0.8502092880220208, -0.5779203487591568, 0.6460651799141216]","[-0.4945800458260545, 1.0094156302507975, -0.924376513551372, -0.49711751880357136, 0.706123553716749]"
"[-0.4945800458260545, 1.0094156302507975, -0.924376513551372, -0.49711751880357136, 0.706123553716749]","[-0.5127419079373038, 1.037575907506957, -0.9823677071135444, -0.5834855173689457, 0.7029661798241916]"
"[-0.5127419079373038, 1.037575907506957, -0.9823677071135444, -0.5834855173689457, 0.7029661798241916]","[-0.5855954751582136, 0.9674365060897039, -1.029512338867224, -0.6251314784504935, 0.61137332431839]"
"[-0.5855954751582136, 0.9674365060897039, -1.029512338867224, -0.6251314784504935, 0.61137332431839]","[-0.5201682705560823, 0.966479498281664, -1.0536351734664913, -0.5838677275193318, 0.6927586886100259]"
"[-0.5201682705560823, 0.966479498281664, -1.0536351734664913, -0.5838677275193318, 0.6927586886100259]","[-0.5310682402392857, 0.8974700965947822, -1.0963111645998052, -0.524001111073927, 0.7063433687409647]"
"[-0.5310682402392857, 0.8974700965947822, -1.0963111645998052, -0.524001111073927, 0.7063433687409647]","[-0.5296691750379106, 0.9278544782751238, -1.0375007383752357, -0.504253698881906, 0.6236012258726384]"
"[-0.5296691750379106, 0.9278544782751238, -1.0375007383752357, -0.504253698881906, 0.6236012258726384]","[-0.4332946980669925, 0.9259161545297271, -0.9608592189171349, -0.5864627699038933, 0.5661603642068518]"
"[-0.4332946980669925, 0.9259161545297271, -0.9608592189171349, -0.5864627699038933, 0.5661603642068518]","[-0.4022055609548437, 0.8647030259009096, -1.007344119849786, -0.5244347320623397, 0.5226345947688481]"
"[-0.4022055609548437, 0.8647030259009096, -1.007344119849786, -0.5244347320623397, 0.5226345947688481]","[-0.3247170565590799, 0.8809968895068366, -0.9606907128115317, -0.5260845175411986, 0.44133259167268823]"
"[-0.3247170565590799, 0.8809968895068366, -0.9606907128115317, -0.5260845175411986, 0.44133259167268823]","[-0.37273293003324204, 0.8828360507777773, -0.902787006306187, -0.5751966845556716, 0.45281172661897673]"
"[-0.37273293003324204, 0.8828360507777773, -0.902787006306187, -0.5751966845556716, 0.45281172661897673]","[-0.44058879340560925, 0.9581790378095015, -0.8172803418669774, -0.498494334893977, 0.49996168905768235]"
"[-0.44058879340560925, 0.9581790378095015, -0.8172803418669774, -0.498494334893977, 0.49996168905768235]","[-0.4517749711808017, 0.8825015299023337, -0.8944312568367869, -0.5389014552666617, 0.4924596095668963]"
"[-0.4517749711808017, 0.8825015299023337, -0.8944312568367869, -0.5389014552666617, 0.4924596095668963]","[-0.5168976556530243, 0.8620997572292359, -0.8701876652328199, -0.5473064084990384, 0.5014253658262757]"
"[-0.5168976556530243, 0.8620997572292359, -0.8701876652328199, -0.5473064084990384, 0.5014253658262757]","[-0.6143132125390569, 0.849025509286847, -0.8907733122523248, -0.49090514523579104, 0.5776230529313788]"
"[-0.6143132125390569, 0.849025509286847, -0.8907733122523248, -0.49090514523579104, 0.5776230529313788]","[-0.6746666074697576, 0.7702486644631064, -0.962862401587175, -0.5512564984785583, 0.5209372714845997]"
"[-0.6746666074697576, 0.7702486644631064, -0.962862401587175, -0.5512564984785583, 0.5209372714845997]","[-0.6738010885352352, 0.7424321793067046, -0.9124401673415709, -0.5859865983907822, 0.5255878184696667]"
"[-0.6738010885352352, 0.7424321793067046, -0.9124401673415709, -0.5859865983907822, 0.5255878184696667]","[-0.694407045640928, 0.8029684789939073, -0.9428550493056522, -0.5153835584912481, 0.4811029036395258]"
"[-0.694407045640928, 0.8029684789939073, -0.9428550493056522, -0.5153835584912481, 0.4811029036395258]","[-0.729485073387718, 0.8536808687019899, -0.9267545360616947, -0.5818194323857357, 0.4394255197048331]"
"[-0.729485073387718, 0.8536808687019899, -0.9267545360616947, -0.5818194323857357, 0.4394255197048331]","[-0.6705808538974081, 0.8544493996523774, -0.8417417918836837, -0.6131115206067915, 0.3797636301892124]"
"[-0.6705808538974081, 0.8544493996523774, -0.8417417918836837, -0.6131115206067915, 0.3797636301892124]","[-0.582808136699482, 0.7604136854172413, -0.874234503108847, -0.5522265600297922, 0.4022825313817099]"
"[-0.582808136699482, 0.7604136854172413, -0.874234503108847, -0.5522265600297922, 0.4022825313817099]","[-0.5738973594435158, 0.7713308102929066, -0.8034127356974832, -0.5569195030083284, 0.3254793102403049]"
"[-0.5738973594435158, 0.7713308102929066, -0.8034127356974832, -0.5569195030083284, 0.3254793102403049]","[-0.5200860724719557, 0.7316929128148196, -0.8478215938895077, -0.6353011463812219, 0.3410574198943621]"
"[-0.5200860724719557, 0.7316929128148196, -0.8478215938895077, -0.6353011463812219, 0.3410574198943621]","[-0.5667230934456347, 0.788450938992753, -0.8205184231802489, -0.681661084285, 0.3781146981104493]"
"[-0.5667230934456347, 0.788450938992753, -0.8205184231802489, -0.681661084285, 0.3781146981104493]","[-0.4922942774675755, 0.8089307691626956, -0.7572232412336463, -0.616316267943787, 0.3645172628481619]"
"[-0.4922942774675755, 0.8089307691626956, -0.7572232412336463, -0.616316267943787, 0.3645172628481619]","[-0.40112932969951565, 0.8325496574300516, -0.7321588391538563, -0.5797884476919875, 0.44219885454205976]"
"[-0.40112932969951565, 0.8325496574300516, -0.7321588391538563, -0.5797884476919875, 0.44219885454205976]","[-0.4073063372116319, 0.7822922110581945, -0.7592631096667325, -0.4918487118869782, 0.4192818823334193]"
"[-0.4073063372116319, 0.7822922110581945, -0.7592631096667325, -0.4918487118869782, 0.4192818823334193]","[-0.3280535135666047, 0.7719580887983553, -0.8230997734425047, -0.41805250326846755, 0.49793911635665355]"
"[-0.3280535135666047, 0.7719580887983553, -0.8230997734425047, -0.41805250326846755, 0.49793911635665355]","[-0.3331480573402646, 0.7974929560576839, -0.777248839544125, -0.4444813118604789, 0.5179404370701126]"
"[-0.3331480573402646, 0.7974929560576839, -0.777248839544125, -0.4444813118604789, 0.5179404370701126]","[-0.3969323339946732, 0.7095283838635245, -0.7254446085768618, -0.388506851243467, 0.45652307226445576]"
"[-0.3969323339946732, 0.7095283838635245, -0.7254446085768618, -0.388506851243467, 0.45652307226445576]","[-0.4855690046137172, 0.7412350625965322, -0.6346306469458478, -0.31845502981344337, 0.3870296125728794]"
"[-0.4855690046137172, 0.7412350625965322, -0.6346306469458478, -0.31845502981344337, 0.3870296125728794]","[-0.4880194142173042, 0.8392985889042358, -0.6117296417590637, -0.25294590503034553, 0.34521040551464816]"
"[-0.4880194142173042, 0.8392985889042358, -0.6117296417590637, -0.25294590503034553, 0.34521040551464816]","[-0.42906666667610094, 0.8577100898420857, -0.5705570203346502, -0.30565563085405506, 0.2715808880747564]"
"[-0.42906666667610094, 0.8577100898420857, -0.5705570203346502, -0.30565563085405506, 0.2715808880747564]","[-0.3578696404676768, 0.935903219084487, -0.6424103957849211, -0.22009420663504828, 0.23801468182255991]"
"[-0.3578696404676768, 0.935903219084487, -0.6424103957849211, -0.22009420663504828, 0.23801468182255991]","[-0.42063891476718346, 0.9211486171348463, -0.6326278894153577, -0.13840090925358084, 0.22101060454346397]"
"[-0.42063891476718346, 0.9211486171348463, -0.6326278894153577, -0.13840090925358084, 0.22101060454346397]","[-0.3273042055515662, 0.9900659403420649, -0.7077002084912284, -0.1384960389096219, 0.2063231729094863]"
"[-0.3273042055515662, 0.9900659403420649, -0.7077002084912284, -0.1384960389096219, 0.2063231729094863]","[-0.3398855486599593, 0.9579289917348989, -0.6800268949555289, -0.10157458279385664, 0.20844378255028895]"
"[-0.3398855486599593, 0.9579289917348989, -0.6800268949555289, -0.10157458279385664, 0.20844378255028895]","[-0.35662464004882816, 0.9153620557769737, -0.6102111699470054, -0.048840657366000295, 0.18569101351947812]"
